Collector,Higher taxon,Taxon,miss mC,miss mT,miss  man-D,miss ped-D,miss_FL,miss_HL,mc,mpp,mmp,mdp,mt,ppp,pmp,pdp,h,f,Museum - Coll. #,locality,notes,Sex/age,pf-H,pf-w,m1-L,m1-W,m2-L,m2-W,hm1,hm2,hm3,hm4,hm5,m2-5 av,hpp1,hpp1-w,hpp2,hpp2-w,hpp3,hpp3-w,hpp4,hpp4-w,hpp5,hpp5-w,hpp2-5 av,hmp2,hmp3,hmp4,hmp5,hmp2-5 av,hdp1,hdp2,hdp3,hdp4,hdp5,hdp2-5 av,HU(AP),HU(ML),notes,fm1,fm2,fm3,fm4,fm5,fm2-5 av,fpp1,fpp1-w,fpp2,fpp2-w,fpp3,fpp3-w,fpp4,fpp4-w,fpp5,fpp5-w,fpp2-5 av,fmp2,fmp3,fmp4,fmp5,fmp2-5 av,fdp1,fdp2,fdp3,fdp4,fdp5,fdp2-5 av,FE(AP),FE(ML),GM,ln GM,BM,ln BM,Ast-w,CW,CD,,radius L,Ulna L,PI,BZ
"Lemelin, P",Strepsirrhini,Nycticebus coucang,,,,,,,y,y,y,y,y,y,y,y,y,y,CMNH B749,,,,nm,nm,nm,nm,nm,nm,9.97,9.71,11.39,12.95,10.13,,7.28,nm,8.69,nm,12.35,nm,13.47,nm,11.09,nm,,3.85,6.53,8.12,6.62,,4.02,2.04,2.74,3.6,3.02,,4.67,4.23,,12.54,12.73,13.82,13.8,13.09,,8.52,nm,10.97,nm,15.44,nm,16.38,nm,13.96,nm,,4.76,9.03,10.37,8.42,,4.54,5.47,3.57,4.01,3.84,,4.21,4.18,,,,,nm,nm,nm,,,,,
"Lemelin, P",Strepsirrhini,Nycticebus coucang,,,,,,,y,y,y,y,y,y,y,y,y,y,FMNH 89467,,,Male,nm,nm,nm,nm,nm,nm,8.16,9.8,11.91,11.44,9.71,,7.31,nm,9.57,nm,12.46,nm,13.28,nm,11.46,nm,,4.52,6.71,8.22,6.72,,3.77,1.63,3,3.43,3.12,,4.61,4.72,,12.45,13.28,13.85,14.1,13.26,,8.12,nm,11.07,nm,15.17,nm,16.3,nm,14.68,nm,,4.99,9.33,9.71,9.02,,4.86,7.36,4.04,4.11,3.92,,4.75,4.62,,,,,nm,nm,nm,,,,,
"Lemelin, P",Strepsirrhini,Nycticebus coucang,,,,,,,y,y,y,y,y,y,y,y,y,y,MCZH 5118,,,,nm,nm,nm,nm,nm,nm,8.11,9.18,11.95,11.46,10.58,,8.04,nm,8.7,nm,12.96,nm,14.43,nm,11.78,nm,,3.12,7.27,9.12,7.15,,4.1,1.72,3.19,3.67,3.22,,4.57,4.73,,13.06,13.03,14.45,13.35,13.22,,8.99,nm,10.79,nm,15.51,nm,16.96,nm,14.99,nm,,4.92,9.5,10.77,8.51,,5.04,na,4.24,4.35,4.19,,4.73,4.72,,,,,nm,nm,nm,,,,,
"Lemelin, P",Strepsirrhini,Nycticebus coucang,,,,,,,y,y,y,y,y,y,y,y,y,y,MNHU 2718,,,Male,nm,nm,nm,nm,nm,nm,8.63,10.71,12.04,11.7,11.02,,7.69,nm,9.26,nm,13.02,nm,13.87,nm,11.63,nm,,3.94,6.87,8.43,6.85,,4.71,2.17,3.31,4.06,3.49,,4.62,4.78,,12.73,13.14,14.48,13.97,13.73,,8.55,nm,11.29,nm,16.34,nm,17.05,nm,15.13,nm,,5.03,9.09,10.23,8.31,,5.24,7.37,4.28,4.44,4.11,,4.51,4.73,,,,,nm,nm,nm,,,,,
"Lemelin, P",Strepsirrhini,Nycticebus coucang,,,,,,,y,y,y,y,y,y,y,y,y,y,NMNH 271186,,,Male,2.96,2.41,3.58,2.87,3.77,2.84,8.16,9.09,10.57,10.71,9.94,,7.22,nm,8.24,nm,11.67,nm,13.16,nm,11.26,nm,,3.25,6.22,7.75,5.62,,4.24,2.04,3.04,3.84,3.34,,5.65,4.82,,11.99,13.04,13.53,13.15,12.97,,8.8,nm,10.45,nm,15.02,nm,16.02,nm,14.01,nm,,4.1,8.02,9.19,6.95,,5.38,6.9,4.04,4.23,3.84,,5.05,5.69,,,,,4.01,4.45,3.84,,,,,
"Lemelin, P",Strepsirrhini,Nycticebus coucang,,,,,,,y,y,y,y,y,y,y,y,y,y,NMNH 300000,,,Male,2.93,3.03,3.35,2.67,3.53,2.57,8.84,10.1,12.08,11.64,11.04,,8.12,nm,9.49,nm,13.44,nm,13.9,nm,12.34,nm,,4.47,8.39,10.15,8.3,,4.68,2.02,3.47,4.15,3.62,,5.45,5.12,,13.72,13.33,14.14,13.76,13.24,,9.48,nm,11.86,nm,16.11,nm,17.05,nm,15.03,nm,,6.2,10.21,11.56,9.27,,5.82,7.42,4.46,4.79,4.47,,4.88,5.07,,,,,3.86,4.79,3.58,,,,,
"Lemelin, P",Strepsirrhini,Nycticebus coucang,,,,,,,y,y,y,y,y,y,y,y,y,y,RMNH 1875(11),,,Female,nm,nm,nm,nm,nm,nm,8.87,10.29,12.1,11.82,10.62,,8.15,nm,9.06,nm,13.45,nm,14.39,nm,11.74,nm,,4.38,8.04,9.32,7.35,,4.56,2.44,3.65,3.97,3.59,,5.11,5.02,,13.57,13.35,14.3,14.21,13.25,,9.91,nm,11.55,nm,16.62,nm,16.92,nm,14.91,nm,,5.58,9.58,11.06,9.11,,5.6,6.69,4.41,4.72,4.18,,4.55,4.72,,,,,nm,nm,nm,,,,,
"Lemelin, P",Strepsirrhini,Nycticebus coucang,,,,,,,y,y,y,y,y,y,y,y,y,y,RMNH 27121865(9),,,Male,nm,nm,nm,nm,nm,nm,8.91,11.01,13.53,13.28,11.86,,9.24,nm,9.66,nm,14.27,nm,15.64,nm,12.74,nm,,5.01,8.2,10.02,8.25,,4.88,2.1,4.16,4.21,3.9,,5.55,5.54,,14.61,15.36,15.72,15.73,14.94,,10.37,nm,12.26,nm,17.64,nm,18.22,nm,16.1,nm,,6.07,11.85,11.37,9.45,,6.36,8.32,4.61,4.95,5.2,,5.43,5.89,,,,,nm,nm,nm,,,,,
"Lemelin, P",Strepsirrhini,Nycticebus pygmaeus,,,,,,,y,y,y,y,y,y,y,y,y,y,FMNH 140917,,,Male,nm,nm,nm,nm,nm,nm,7.48,8.18,9.89,9.35,8.7,,7.14,nm,8.2,nm,11.51,nm,12.26,nm,10.12,nm,,4.2,6.57,7.44,6.48,,3.9,1.82,3.11,3.38,3.43,,3.86,3.52,,11.11,10.7,11.37,10.9,10.82,,7.93,nm,9.63,nm,13.72,nm,14.21,nm,12.48,nm,,5.08,8.1,8.87,7.4,,5.47,6.18,3.7,3.99,3.76,,3.93,3.76,,,,,nm,nm,nm,,,,,
"Lemelin, P",Strepsirrhini,Nycticebus pygmaeus,,,,,,,y,y,y,y,y,y,y,y,y,y,FMNH 145466,,,,nm,nm,nm,nm,nm,nm,7.24,7.72,9.62,9.1,8.89,,7.54,nm,8.9,nm,11.31,nm,12.32,nm,9.75,nm,,4.11,6.69,8.11,6.19,,3.77,1.81,3.17,3.48,2.97,,3.81,3.36,,11.01,10.82,11.35,11.44,10.7,,8.26,nm,9.88,nm,13.95,nm,14.13,nm,12.33,nm,,4.81,8.35,9.05,7.35,,4.92,6.21,3.85,3.86,3.54,,3.66,3.71,,,,,nm,nm,nm,,,,,
"Lemelin, P",Strepsirrhini,Nycticebus pygmaeus,,,,,,,y,y,y,y,y,y,y,y,y,y,FMNH 46825,,,Female,nm,nm,nm,nm,nm,nm,7.52,9.16,10.19,9.99,9.36,,7.96,nm,8.71,nm,11.45,nm,12.19,nm,10.13,nm,,4.45,6.88,8.45,6.83,,4.11,1.93,3.36,3.7,3.36,,4,3.89,,12.2,12.46,12.44,12.06,11.78,,8.68,nm,10.54,nm,14.73,nm,15.07,nm,13.43,nm,,5.46,9.22,9.81,8.57,,5.24,6.33,4.63,4.21,na,,3.98,3.94,,,,,nm,nm,nm,,,,,
"Lemelin, P",Strepsirrhini,Nycticebus pygmaeus,,,,,,,y,y,y,y,y,y,y,y,y,y,FMNH 46828,,,Male,nm,nm,nm,nm,nm,nm,7.45,9.21,10.32,9.85,9.38,,7.2,nm,7.81,nm,11.17,nm,12.05,nm,9.81,nm,,4.21,6.72,8.24,6.5,,3.73,2.3,3.15,3.49,3.36,,3.98,3.9,,11.7,11.01,11.95,11.29,11.07,,8.89,nm,9.46,nm,13.85,nm,14.03,nm,11.79,nm,,5.09,8.39,8.9,7.78,,5.2,5.2,3.97,3.76,3.91,,3.99,3.88,,,,,nm,nm,nm,,,,,
"Lemelin, P",Strepsirrhini,Nycticebus pygmaeus,,,yes,yes,,,y,y,y,n,y,y,y,n,y,y,MCZH 36035,,,Male,nm,nm,nm,nm,nm,nm,7.59,8.19,9.8,9.37,8.36,,6.91,nm,8.09,nm,11.33,nm,11.86,nm,9.59,nm,,3.93,6.99,7.72,5.82,,na,na,na,na,na,,3.77,3.36,,11.42,10.75,11.25,10.6,10.36,,8.55,nm,9.08,nm,13.81,nm,13.79,nm,12.19,nm,,na,8.68,9.09,7.49,,na,na,na,na,na,,3.43,3.69,,,,,nm,nm,nm,,,,,
"Lemelin, P",Strepsirrhini,Otolemur crassicaudatus,,,,,yes,yes,y,y,y,y,y,y,y,y,n,y,AMNH 201330,,,Male,nm,nm,nm,nm,nm,nm,9.42,12.89,13.9,13.29,11.47,,9.66,nm,10.76,nm,14.43,nm,15.75,nm,12.35,nm,,7.06,9.97,10.68,8.3,,4.8,3.14,3.83,4.28,3.43,,,,,15.71,16,17.64,16.32,15.66,,10.85,nm,12.83,nm,14.88,nm,15.99,nm,13.33,nm,,6.95,9.33,11.5,8.8,,6.02,6.16,3.91,4.46,4.11,,5.03,4.85,,,,,nm,nm,nm,,,,,
"Lemelin, P",Strepsirrhini,Otolemur crassicaudatus,,,,,yes,yes,y,y,y,y,y,y,y,y,n,y,AMNH 245093,,,,nm,nm,nm,nm,nm,nm,10.49,13.56,15.05,14.43,12.79,,10.22,nm,12.8,nm,15.06,nm,16.55,nm,13.24,nm,,6.94,9.57,10.53,8.47,,5.01,2.85,4.03,4.35,3.9,,,,,17.85,16.33,17.91,17.86,17.3,,11.69,nm,12.84,nm,16.04,nm,17.41,nm,13.95,nm,,6.54,9.27,11.13,8.64,,6.67,6.96,4.47,4.9,4.19,,5.82,5.58,,,,,nm,nm,nm,,,,,
"Lemelin, P",Strepsirrhini,Otolemur crassicaudatus,,,,,,,y,y,y,y,y,y,y,y,y,y,FMNH 53077,,,,nm,nm,nm,nm,nm,nm,9.74,12.55,12.84,13.47,11.68,,9.16,nm,10.8,nm,12.84,nm,15.4,nm,12.63,nm,,6.58,9.14,9.59,8.02,,3.67,3.17,4.08,4.42,3.63,,4.84,4.68,,15.88,15.44,16.52,15.73,15.26,,10.19,nm,11.2,nm,14.2,nm,16.48,nm,12.85,nm,,5.78,8.62,9.85,7.84,,6.37,5.78,3.99,4.69,4.05,,5.46,5.22,,,,,nm,nm,nm,,,,,
"Lemelin, P",Strepsirrhini,Otolemur crassicaudatus,,,,,,,y,y,y,y,y,y,y,y,y,y,NMNH 267588,,,Female,3.46,3.37,3.85,3.12,3.95,3.04,8.84,11.38,12.47,11.92,10.66,,8.45,nm,10.21,nm,13.28,nm,14.66,nm,11.84,nm,,5.4,8.15,9.34,7.3,,3.88,2.46,3.81,4.15,3.48,,4.4,4.66,,15.48,15.31,15.86,15.35,14.62,,9.7,nm,10.19,nm,14.1,nm,15.38,nm,12.2,nm,,4.59,8,9.32,6.99,,6.08,5.8,3.84,4.5,3.76,,5.75,5.31,,,,,nm,nm,nm,,,,,
"Lemelin, P",Strepsirrhini,Otolemur crassicaudatus,,,,,,,y,y,y,y,y,y,y,y,y,y,NMNH 397989,,,Female,4.15,3.32,3.82,3.2,3.9,3.22,9.4,12.87,13.24,12.52,10.87,,8.99,nm,10.52,nm,14.13,nm,15.13,nm,12.51,nm,,6.17,8.53,8.73,7.6,,4.16,3.23,3.09,4.16,3.9,,4.36,4.71,,16.51,15.49,16.7,15.54,14.22,,10.23,nm,11.07,nm,14.6,nm,16.61,nm,13.08,nm,,5.18,8.04,9.51,7.61,,6.35,6.87,4.13,4.65,4.14,,5.48,5.31,,,,,nm,nm,nm,,,,,
"Lemelin, P",Strepsirrhini,Otolemur crassicaudatus,,,,,,,y,y,y,y,y,y,y,y,y,y,NMNH 399060,,,Female,3.91,2.84,3.68,3.08,3.68,2.76,9.65,11.59,12.95,12.1,10.94,,8.86,nm,10.15,nm,13.47,nm,14.61,nm,11.61,nm,,5.29,7.81,8.82,6.96,,3.9,2.76,3.4,3.93,3.41,,4.38,4.07,,15.92,14.64,15.8,14.59,14.53,,9.62,nm,10.53,nm,14.01,nm,15.67,nm,12.35,nm,,4.88,7.85,9.11,7.14,,6.08,5.3,3.99,4.41,3.82,,4.78,5.56,,,,,nm,nm,nm,,,,,
"Lemelin, P",Strepsirrhini,Otolemur crassicaudatus,,,,,,,y,y,y,y,y,y,y,y,y,y,NMNH 399062,,,Female,3.57,2.95,3.94,2.82,3.62,2.66,9.25,11.39,12.78,11.98,11.16,,7.91,nm,9.74,nm,12.89,nm,13.98,nm,11.14,nm,,5.36,7.58,8.84,6.9,,3.77,2.84,3.51,4.14,3.44,,5.34,4.93,,14.89,14.77,16.06,15.05,14.62,,9.32,nm,10.55,nm,13.58,nm,15.18,nm,11.85,nm,,5.65,7.61,9.07,6.96,,5.73,5.26,4.06,4.4,3.66,,4.99,4.89,,,,,nm,nm,nm,,,,,
"Lemelin, P",Strepsirrhini,Otolemur crassicaudatus,,,,,,,y,y,y,y,y,y,y,y,y,y,RMNH 1893 (1),,,Female,nm,nm,nm,nm,nm,nm,8.93,11.94,13.25,13.02,12.06,,8.52,nm,10.38,nm,12.75,nm,16.25,nm,13.7,nm,,6.34,8.47,9.88,8.95,,3.99,3.01,4.38,4.52,4.35,,3.37,3.65,,14.95,13.92,16.05,14.94,14.61,,9.53,nm,10.51,nm,13.45,nm,14.8,nm,11.96,nm,,4.76,7.97,10.14,6.96,,5.67,7.28,3.56,4.25,3.49,,4.2,4.69,,,,,nm,nm,nm,,,,,
"Lemelin, P",Strepsirrhini,Otolemur crassicaudatus,,,,,,,y,y,y,y,y,y,y,y,y,y,RMNH 1893 (2),,,Male,nm,nm,nm,nm,nm,nm,9.48,12.37,13.67,12.09,11.13,,8.46,nm,10.22,nm,13.44,nm,13.66,nm,11.11,nm,,5.8,8.55,9.55,7.87,,4.92,3.42,3.78,3.68,3.64,,5.07,4.91,,16.29,15.85,17.23,16.84,16.91,,10.25,nm,11.14,nm,14.52,nm,16.31,nm,13,nm,,5.27,8.66,10.2,8.1,,7.53,5.95,4.64,4.59,4.18,,5.93,5.72,,,,,nm,nm,nm,,,,,
"Lemelin, P",Strepsirrhini,Otolemur garnettii,,,,,,,y,y,y,y,y,y,y,y,y,y,BMNH 1990-526,,,,nm,nm,nm,nm,nm,nm,10.08,12.85,14.26,13.64,12.1,,9.98,nm,11.39,nm,14.85,nm,16.26,nm,13.16,nm,,6.04,9.3,9.93,8.59,,4.97,3.07,4,4.96,3.81,,4.63,4.93,,16.81,16.58,17.32,16.51,16.15,,11.32,nm,12.54,nm,15.84,nm,17.55,nm,13.98,nm,,5.62,9.11,10.63,8.17,,6.83,5.81,4.49,5.13,4.23,,6,6.18,,,,,nm,nm,nm,,,,,
"Lemelin, P",Strepsirrhini,Otolemur garnettii,,,,,,,y,y,y,y,y,y,y,y,y,y,CMNH B748,,,,nm,nm,nm,nm,nm,nm,9.26,11.84,13.59,12.99,11.63,,9.15,nm,10.91,nm,14.31,nm,15.62,nm,12.78,nm,,5.8,8.53,9.7,7.65,,4.35,2.88,3.66,4.29,3.47,,4.24,4.76,,15.69,15.2,15.77,15.82,15.5,,10.22,nm,11.69,nm,15.54,nm,17.1,nm,13.84,nm,,5.2,8.24,9.64,8.46,,6.36,5.5,3.98,4.5,3.81,,4.75,5,,,,,nm,nm,nm,,,,,
"Lemelin, P",Strepsirrhini,Otolemur garnettii,,,,,,,y,y,y,y,y,y,y,y,y,y,DUPC 015 (418m),,maybe more than 1 specimen included in box,Male,3.93,3.13,3.7,3.22,3.78,3.25,9.93,11.98,12.99,12.68,11.65,,9.82,nm,10.86,nm,14.44,nm,15.91,nm,12.62,nm,,6,8.77,9.9,7.99,,4.42,3.15,4.71,4.71,3.7,,4.08,4.78,,17.07,15.04,16.02,15.6,15.31,,10.84,3.33,11.79,1.59,14.65,1.89,16.91,1.8,13.45,1.52,,5.54,8.78,10.03,8.01,,6.32,na,4.3,4.72,4.32,,5.95,5.48,,,,,4.96,4.44,4.36,,,,,
"Lemelin, P",Strepsirrhini,Otolemur garnettii,,,,,,,y,y,y,y,y,y,y,y,y,y,DUPC 1034,,,Male,3.9,3.3,3.62,3.19,3.8,3.38,10.24,12.3,14.02,13.72,12.57,,9.49,2.33,11.15,1.87,14.75,1.91,16.25,2.04,13.23,2.1,,5.9,8.94,9.95,8.28,,5.02,3.43,4.15,4.92,3.5,,5.42,5.47,,16.82,16.18,17.33,17.22,16.63,,10.97,3.25,11.86,1.72,15.59,1.77,18.09,1.98,13.68,2,,5.56,9.36,10.91,8.48,,6.38,5.51,4.83,5.24,4.25,,6.05,6.09,,,,,5.12,5.57,4.98,,,,,
"Lemelin, P",Strepsirrhini,Otolemur garnettii,,,,,,,y,y,y,y,y,y,y,y,y,y,DUPC 1055,,,Female,3.89,3.33,4.08,3.62,4.21,3.8,10.14,12.29,13.25,13.12,12.07,,8.89,2.3,10.37,1.66,14.11,1.69,15.17,1.88,12.63,1.94,,6.14,8.45,9.28,7.79,,4.45,2.91,3.84,3.61,3.56,,4.55,4.78,,15.71,15.96,16.39,16.06,15.42,,10.59,3.03,11.09,1.51,14.02,1.64,16.32,1.91,13.89,1.71,,5.58,9.82,9.21,8.27,,6.3,na,4.1,3.45,4.23,,5.57,5.48,,,,,4.72,4.92,4.6,,,,,
"Lemelin, P",Strepsirrhini,Otolemur garnettii,,,,,,,y,y,y,y,y,y,y,y,y,y,DUPC 1082,,,Male,3.61,3.29,3.9,3.07,3.9,3.09,9.9,11.91,13.45,12.82,11.88,,9.21,2.22,11.05,1.49,14.24,1.67,15.23,1.87,12.6,1.83,,5.88,8.61,9.5,7.26,,4.45,2.81,3.46,4.16,3.49,,4.71,4.37,,16.42,15.35,16.47,15.75,15.64,,10.46,3.1,11.44,1.41,14.87,1.54,16.39,1.65,13.25,1.82,,5.23,8.34,9.84,7.66,,6.18,na,4.13,4.59,4.03,,5.5,5.51,,,,,5.1,4.58,4.11,,,,,
"Lemelin, P",Strepsirrhini,Otolemur garnettii,,,,,,,y,y,y,y,y,y,y,y,y,y,RMNH 1895,,,Female,nm,nm,nm,nm,nm,nm,9.88,12.41,13.47,13.02,12.06,,9.11,nm,11.01,nm,14.46,nm,16.25,nm,13.7,nm,,6.26,8.63,9.88,8.95,,4.72,2.78,4.38,4.52,4.35,,4.12,4.65,,16.65,15.9,16.77,16.01,15.81,,10.38,nm,11.8,nm,15.36,nm,17.63,nm,14.39,nm,,5.47,8.85,10.04,8.05,,7.29,6.31,4.63,4.84,4.36,,5.72,5.76,,,,,nm,nm,nm,,,,,
"Lemelin, P",Strepsirrhini,Perodicticus potto,,,,,,,y,y,y,y,y,y,y,y,y,y,AIZU 6538,,,Male,nm,nm,nm,nm,nm,nm,9.84,10.89,15.1,14.9,13.99,,10.84,nm,8.81,nm,16.89,nm,19.7,nm,16.67,nm,,1.61,9.49,11.73,9.63,,7.6,na,5.71,6.28,6.08,,6.15,5.37,,14.73,15.93,16.61,15.84,15.96,,11.99,nm,12.42,nm,18.08,nm,21.82,nm,18.89,nm,,6.02,10.41,12.5,11.04,,8.63,9.97,6.05,6.69,6.62,,5.14,6.41,,,,,nm,nm,nm,,,,,
"Lemelin, P",Strepsirrhini,Perodicticus potto,,,,,,,y,y,y,y,y,y,y,y,y,y,AIZU 6623,,,Male,nm,nm,nm,nm,nm,nm,9.29,9.92,13.21,13.42,12.54,,9.26,nm,7.36,nm,14.74,nm,17.18,nm,14.35,nm,,2.17,7.4,9.88,8.03,,7.18,na,4.98,5.9,8.03,,7.21,6.72,,13.41,13.35,14.94,14.53,14.54,,10.18,nm,11.2,nm,15.51,nm,19.01,nm,15.95,nm,,3.52,7.62,10.67,9.07,,8.06,11.11,5.5,6.28,5.91,,6.03,6.11,,,,,nm,nm,nm,,,,,
"Lemelin, P",Strepsirrhini,Perodicticus potto,,,,,,,y,y,y,y,y,y,y,y,y,y,AIZU 7575,,,,nm,nm,nm,nm,nm,nm,10.39,10.95,15.04,14.73,13.64,,10.63,nm,7.42,nm,15.29,nm,18.55,nm,15.55,nm,,2.35,7.93,9.84,8.75,,7.7,na,4.76,5.83,8.75,,6.54,6.07,,14.56,15.09,16.34,16.26,15.39,,11.03,nm,11.57,nm,16.25,nm,19.52,nm,17.1,nm,,5.73,9.08,11.27,9.67,,8.24,7.69,5.6,6.7,6.29,,5.54,5.66,,,,,nm,nm,nm,,,,,
"Lemelin, P",Strepsirrhini,Perodicticus potto,,,,,,,y,y,y,y,y,y,y,y,y,y,AMNH 200232,,,Male,nm,nm,nm,nm,nm,nm,10.11,10.99,15.38,15.43,14.27,,10.66,nm,8.46,nm,16,nm,18.9,nm,15.54,nm,,3.43,8.53,10.7,9.14,,7.81,na,5.64,6.64,5.96,,7.11,5.81,,14.21,14.38,17.11,17.08,15.78,,11.94,nm,11.65,nm,17.19,nm,19.79,nm,17.27,nm,,5.66,9.18,11.81,9.98,,na,10.71,6.19,na,5.92,,5.85,6.56,,,,,nm,nm,nm,,,,,
"Lemelin, P",Strepsirrhini,Perodicticus potto,,,,,,,y,y,y,y,y,y,y,y,y,y,AMNH 52685,,,Male,nm,nm,nm,nm,nm,nm,9.73,9.89,14.36,14.51,13.2,,10.27,nm,6.96,nm,14.2,nm,14.51,nm,14.1,nm,,na,7.6,10.04,8.49,,7.09,na,4.01,5.02,4.39,,7.15,6.21,,14.84,14.17,15.64,15.88,14.61,,11.03,nm,10.27,nm,15.19,nm,19.35,nm,15.86,nm,,4.81,11.29,11.06,9.65,,8.2,8.67,5.04,5.86,na,,6.43,6.63,,,,,nm,nm,nm,,,,,
"Lemelin, P",Strepsirrhini,Perodicticus potto,,,,,,,y,y,y,y,y,y,y,y,y,y,AMNH 86898,,,Female,nm,nm,nm,nm,nm,nm,9.33,9.47,12.39,12.28,11.3,,10.05,nm,7.6,nm,13.6,nm,15.96,nm,13.55,nm,,1.85,7.56,9.73,8.36,,6.28,na,4.18,4.92,3.42,,5.17,4.56,,13.1,13.35,13.98,13.54,13.02,,10.12,nm,9.99,nm,14.42,nm,17.08,nm,13.98,nm,,3.59,9.03,9.8,7.74,,7.24,7.2,4.81,4.69,4.64,,5,4.74,,,,,nm,nm,nm,,,,,
"Lemelin, P",Strepsirrhini,Perodicticus potto,,,,,,,y,y,y,y,y,y,y,y,y,y,BMNH 1977-1052,,,Female,nm,nm,nm,nm,nm,nm,11.41,12.34,17.08,16.75,15.75,,11.38,nm,9.38,nm,17.63,nm,20,nm,16.73,nm,,2.47,9.01,11.76,10,,8.22,na,5.36,6.99,5.9,,7.59,6.24,,15.12,16.41,18.09,17.74,17.38,,11.88,nm,12.48,nm,18.52,nm,21,nm,17.94,nm,,4.59,9.83,12.44,10.29,,8.72,10.41,6.24,6.51,6.35,,6.09,6.72,,,,,nm,nm,nm,,,,,
"Lemelin, P",Strepsirrhini,Perodicticus potto,,,,,,,y,y,y,y,y,y,y,y,y,y,BMNH 1977-880,,,Male,nm,nm,nm,nm,nm,nm,10.47,11.55,15.86,15.25,14.1,,11.49,nm,9.25,nm,16.87,nm,19.6,nm,16.23,nm,,4.39,8.06,10.43,8.31,,8.05,na,6.45,6.69,6.02,,7.65,5.59,,15.14,15.81,17.11,16.72,16.11,,12.34,nm,13.03,nm,18.53,nm,21.55,nm,18.2,nm,,6.74,10.23,13.44,10.8,,9.99,10.79,6.66,7.44,6.61,,5.02,5.82,,,,,nm,nm,nm,,,,,
"Lemelin, P",Strepsirrhini,Perodicticus potto,,,yes,,,,y,y,y,n,y,y,y,y,y,y,CMNH B1047,,,,nm,nm,nm,nm,nm,nm,10.83,10.82,15.23,14.96,13.77,,9.94,nm,7.96,nm,15.69,nm,18.61,nm,14.86,nm,,2.38,8.18,10.93,8.69,,7.4,na,na,6.21,5.16,,8.14,5.91,,14.93,15.26,16.12,15.74,15,,11.45,nm,11.29,nm,17.23,nm,19,nm,17.1,nm,,8.85,10.78,11.54,9.44,,8.85,10.78,5.98,na,5.81,,5.72,6.64,,,,,nm,nm,nm,,,,,
"Lemelin, P",Strepsirrhini,Perodicticus potto,,,,,,,y,y,y,y,y,y,y,y,y,y,CMNH B751,,,,nm,nm,nm,nm,nm,nm,9.83,9.55,14.39,14.33,13.28,,9.31,nm,7.63,nm,14.94,nm,17.19,nm,13.92,nm,,3.78,7.69,9.66,8.3,,6.71,na,5.67,,5.23,,5.87,4.89,,13.03,13.37,15.06,14.93,14.32,,10.76,nm,11.29,nm,16.27,nm,19.17,nm,16.4,nm,,4.77,9.55,11.38,9.44,,7.51,8.78,5.25,6.34,6,,4.84,5.12,,,,,nm,nm,nm,,,,,
"Lemelin, P",Strepsirrhini,Perodicticus potto,,,yes,,,,y,y,n,y,y,y,y,y,y,y,NMNH 481744,,,Female,3.29,3.03,,could not find,,,9.8,9.19,13.59,13.3,13.02,,10.38,nm,na,nm,14.53,nm,17.55,nm,15.08,nm,,6.63,na,10.94,8.45,,6.63,na,4.07,4.98,4.58,,5.75,4.18,,13.39,13.26,14.45,14.02,14.31,,,nm,10.65,nm,15.7,nm,18.69,nm,16.45,nm,,3.83,8.37,11.83,9.73,,na,8.05,4.67,5.61,4.9,,4.64,5.25,,,,,nm,nm,nm,,,,,
"Lemelin, P",Strepsirrhini,Perodicticus potto,,,,,,,y,y,y,y,y,y,y,y,y,y,NMNH 49547,,,,3.82,2.74,,could not find,,,9.09,10.21,13.42,12.99,11.9,,9.03,nm,8.09,nm,15.35,nm,17.24,nm,13.72,nm,,2.33,6.65,9.24,7.51,,6.29,na,4.28,5.25,4.61,,6.1,4.97,,12.22,13.66,14.54,14.22,13.38,,9.95,nm,11.55,nm,15.98,nm,18.63,nm,15.73,nm,,4.28,7.26,9.93,8.41,,7.45,8.75,4.76,5.32,4.83,,5.11,5.64,,,,,nm,nm,nm,,,,,
"Lemelin, P",Strepsirrhini,Perodicticus potto,,,,,,,y,y,y,y,y,y,y,y,y,y,RMNH 6,,,Female,nm,nm,nm,nm,nm,nm,10.04,10.05,14.44,14.62,13.18,,9.57,nm,7.73,nm,15.57,nm,18.04,nm,14.75,nm,,1.99,8.98,10.63,9.48,,6.69,na,4.34,5.18,4.75,,5.99,5.06,,14.37,13.71,15.49,15.5,14.41,,11.34,nm,11.24,nm,16.41,nm,19.44,nm,16.42,nm,,5.63,9.47,11.75,10.22,,7.83,9.73,5.2,6.24,5.14,,4.66,5.53,,,,,nm,nm,nm,,,,,
"Lemelin, P",Strepsirrhini,Propithecus diadema,,,,,,,y,y,y,y,y,y,y,y,y,y,CMNH 1155,,,,nm,nm,nm,nm,nm,nm,25.11,34.72,41.49,42.05,40.14,,21.38,nm,27.54,nm,35.04,nm,38.51,nm,34.61,nm,,14.51,22.36,27.31,21.36,,12.1,7.84,9.61,11.03,10.12,,8.29,8.01,,46.9,47.89,50.46,50.98,50.4,,25.34,nm,31.34,nm,37.57,nm,37.39,nm,33.86,nm,,14.73,19.34,24.02,19.57,,17.64,13.8,10.21,na,10.96,,10.22,10.67,,,,,nm,nm,nm,,,,,
